"","run_accession","submission_accession","study_abstract","study_description"
"498","SRR6659438","SRA654526",NA,NA
"499","SRR5127541","SRA508822","As part of the 500 Functional Genomics (500FG) project, stool samples from 471 healthy adults were subjected to metagenomic shotgun sequencing (one time point per individual). Concurrently, blood samples were collected from each individual and the cytokine production was measured in response to bacterial and fungal stimulations. Significant inter-individual variation was observed in the gut microbial profiles as well as the immunological profiles. Subsequent association testing showed that microbiome-host interactions modulate the inflammatory cytokine production capacity in healthy individuals.",NA
"500","SRR7642173","SRA751606",NA,NA
"501","ERR1662261","ERA713469","The Mid-Cayman Rise hosts two geochemically distinct vent fields: Von Damm, situated in ultramafic rock, and Piccard, a mafic vent field that is the deepest known vent site in the world. We have analyzed and compared taxonomic and metabolic diversity as well as strain-level variation from 11 metagenomes from Von Damm and 4 metagenomes from Piccard.","The Mid-Cayman Rise hosts two geochemically distinct vent fields: Von Damm, situated in ultramafic rock, and Piccard, a mafic vent field that is the deepest known vent site in the world. We have analyzed and compared taxonomic and metabolic diversity as well as strain-level variation from 11 metagenomes from Von Damm and 4 metagenomes from Piccard."
"502","SRR1215716","SRA150208","Risk Stratification and Identification of Immunogenetic and Microbial Markers of Rapid Disease Progression in Children with Crohnâ€™s Disease.",NA
"503","DRR027577","DRA002843","The multiple nuclear genes as well as the complete mitochondrial genomes from two species of elephant birds were sequenced.",NA
"504","SRR585697","SRA059451","Symptomatic atherosclerosis gut metagenome.",NA
"505","ERR209343","ERA179067","The microbial diversity of environments like the human gut extends far beyond what is covered by reference genomes. Here we present a method for exhaustive and unsupervised co-abundance gene binning across a series of highly complex metagenomic samples. As the method does not rely on previously sequenced reference genomes it allows for discovery of new species, viruses and clonal heterogeneity. We demonstrate the method on human gut microbiome data and identify 7,381 co-abundance gene groups (CAGs) ranging in size from 3 to 6,319 genes. The CAGs represent a wide variety of biological entities including microbial genomes, phages and clonal differences. We name the 741 largest of these metagenomic species (MGS), because they correspond to microbial species. In addition, we establish microbial host affiliations by dependency-associations for many small CAGs. Longitudinal sampling in the same individuals indicates that some of these dependency-associations are important for the persistence of their microbial host","The microbial diversity of environments like the human gut extends far beyond what is covered by reference genomes. Here we present a method for exhaustive and unsupervised co-abundance gene binning across a series of highly complex metagenomic samples. As the method does not rely on previously sequenced reference genomes it allows for discovery of new species, viruses and clonal heterogeneity. We demonstrate the method on human gut microbiome data and identify 7,381 co-abundance gene groups (CAGs) ranging in size from 3 to 6,319 genes. The CAGs represent a wide variety of biological entities including microbial genomes, phages and clonal differences. We name the 741 largest of these metagenomic species (MGS), because they correspond to microbial species. In addition, we establish microbial host affiliations by dependency-associations for many small CAGs. Longitudinal sampling in the same individuals indicates that some of these dependency-associations are important for the persistence of their microbial host"
"506","SRR6659451","SRA654526",NA,NA
"507","SRR5115375","SRA504789",NA,NA
"508","SRR3213020","SRA382459","A metagenomic analysis of the gut flora in recent (<1 year) and old African migrantsâ€™ (>5 years) colonic biopsiesâ€™ microenvironment.",NA
"509","SRR5963311","SRA596977","Time-series fecal samples for a cohort of premature infants in NICU",NA
"510","SRR1215992","SRA150208","Risk Stratification and Identification of Immunogenetic and Microbial Markers of Rapid Disease Progression in Children with Crohnâ€™s Disease.",NA
"511","SRR1211686","SRA150208","Risk Stratification and Identification of Immunogenetic and Microbial Markers of Rapid Disease Progression in Children with Crohnâ€™s Disease.",NA
"512","SRR7761322","SRA763841",NA,NA
"513","SRR6659421","SRA654526",NA,NA
"514","SRR5386158","SRA549291",NA,NA
"515","SRR6659442","SRA654526",NA,NA
"516","SRR1490964","SRA146236","C.diff FMT",NA
"517","SRR4305297","SRA481012","This is a longitudinal collection of stool samples from infants at risk for disease. Approximately 1,000 newborns were recruited to the birth cohort as part of the international DIABIMMUNE Study (http://www.diabimmune.org/) for which the consent rate was 80% in Tartu, Estonia, 59% in Espoo, Finland, and 24% in Petrozavodsk, Russia. Recruitment took place between September 2008 and May 2010 in Estonia and Finland, and between September 2008 and July 2011 in Russia. Follow-up was completed in April 2013 in Estonia and Finland, and in October 2013 in Russia. The final number of children included in the present study was 74 from each country. Inclusion criteria included positive cord blood testing for HLA DR-DQ alleles conferring increased risk for autoimmunity. The participating children were monitored prospectively for infections, use of drugs including antibiotics, and other life events.",NA
"518","SRR6659486","SRA654526",NA,NA
"519","SRR3110878","SRA336459","The goals of this study were to compare sequencing technology results and investigate their 16S rRNA gene and Metagenomic sequencing ability.",NA
"520","SRR4305074","SRA481012","This is a longitudinal collection of stool samples from infants at risk for disease. Approximately 1,000 newborns were recruited to the birth cohort as part of the international DIABIMMUNE Study (http://www.diabimmune.org/) for which the consent rate was 80% in Tartu, Estonia, 59% in Espoo, Finland, and 24% in Petrozavodsk, Russia. Recruitment took place between September 2008 and May 2010 in Estonia and Finland, and between September 2008 and July 2011 in Russia. Follow-up was completed in April 2013 in Estonia and Finland, and in October 2013 in Russia. The final number of children included in the present study was 74 from each country. Inclusion criteria included positive cord blood testing for HLA DR-DQ alleles conferring increased risk for autoimmunity. The participating children were monitored prospectively for infections, use of drugs including antibiotics, and other life events.",NA
"521","SRR5429532","SRA552400","Major gaps remain in our understanding of the ecology, evolution, biodiversity, biogeography, extinction risk, and adaptive potential of reef building corals. One of the central challenges remains that there are few informative genetic markers for studying boundaries between species, and variation within species. Reduced representation sequencing approaches, such as RADseq (Restriction site Associated DNA sequencing) have great potential for resolving such relationships. However, it is necessary to identify loci in order to make inferences for endosymbiotic organisms such as corals. Here, we examined twenty-one coral holobiont ezRAD libraries from Hawai?i, focusing on P. lobata and P. compressa, two species with contrasting morphology and habitat preference that previous studies have not resolved.We used a combination of de novo assembly and reference mapping approaches to identify and compare loci: we used reference mapping to extract and compare nearly complete mitochondrial genomes, ribosomal arrays, and histone genes. We used de novo clustering and phylogenomic methods to compare the complete holobiont data set with coral and symbiont subsets that map to transcriptomic data. In addition, we used reference assemblies to examine genetic structure from SNPs (Single Nucleotide Polymorphisms). All approaches resolved outgroup taxa but failed to resolve P. lobata and P. compressa as distinct, with mito-nuclear discordance and shared mitochondrial haplotypes within the species complex. The holobiont and â€˜coral transcriptomicâ€™ datasets were highly concordant, revealing stronger genetic structure between sites than between coral morphospecies. These results suggest that either branching morphology is a polymorphic trait, or that these species frequently hybridize. This study provides examples of several approaches to acquire, identify, and compare loci across metagenomic samples such as the coral holobiont while providing insights into the nature of coral variability.",NA
"522","SRR5156199","SRA524775","We conducted metagenomic and metatranscriptomic sequencing of the human gut microbiome among 308 participants enrolled in a subcohort of men nested within the Health Professionals Follow-up Study. Using a previously validated self-sampling stool collection method (PMID24843156), participants provided up to four stool samples â€“ one set of samples collected approximately 48 hours apart followed by a second set approximately 6 months later. DNA extracted from 929 stool samples and RNA extracted from 378 stool samples was reverse-transcribed to cDNA and sequenced using the Illumina HiSeq platform. Raw data were filtered to remove low quality and human reads. Metagenomic and metatranscriptomic read data were then profiled for functional and taxonomic composition using the HUMAnN2 and MetaPhlAn2 platforms respectively.",NA
"523","SRR1754166","SRA218428","Characterization of microbial communities associated with cilantro",NA
"524","SRR6659437","SRA654526",NA,NA
"525","SRR2992960","SRA319014","Metagenomic sequencing to identify and measure the abundances of microorganisms present in stool samples from athletes",NA
"526","ERR1717097","ERA743773","Despite their huge potential for characterizing the biodiversity of phages, metagenomic studies are currently not available for dairy bacteriophages, partly due to the lack of a standard procedure for phage extraction. We optimized an extraction method that allows to remove the bulk protein from whey and milk samples with losses of less than 50% of spiked phages. The protocol was applied to extract phages from whey in order to test the notion that members of Lactococcus (Lc.) lactis 936 (now Sk1virus), P335, c2 (now C2virus) and Leuconostoc phage groups are the most frequently encountered in the dairy environment. The relative abundance and diversity of phages in eight and four whey mixtures from dairies using undefined mesophilic mixed-strain DL-starter cultures and defined cultures, respectively, was assessed. Results obtained from transmission electron microscopy and high-throughput sequence analyses revealed the dominance of Lc. lactis 936 phages (order Caudovirales, family Siphoviridae) in dairies using undefined DL-starter cultures and Lc. lactis c2 phages (order Caudovirales, family Siphoviridae) in dairies using defined cultures. The 936 and Leuconostoc phages demonstrated limited diversity. Possible co-induction of temperate P335 prophages and satellite phages in one of the whey mixtures was also observed.","Despite their huge potential for characterizing the biodiversity of phages, metagenomic studies are currently not available for dairy bacteriophages, partly due to the lack of a standard procedure for phage extraction. We optimized an extraction method that allows to remove the bulk protein from whey and milk samples with losses of less than 50% of spiked phages. The protocol was applied to extract phages from whey in order to test the notion that members of Lactococcus (Lc.) lactis 936 (now Sk1virus), P335, c2 (now C2virus) and Leuconostoc phage groups are the most frequently encountered in the dairy environment. The relative abundance and diversity of phages in eight and four whey mixtures from dairies using undefined mesophilic mixed-strain DL-starter cultures and defined cultures, respectively, was assessed. Results obtained from transmission electron microscopy and high-throughput sequence analyses revealed the dominance of Lc. lactis 936 phages (order Caudovirales, family Siphoviridae) in dairies using undefined DL-starter cultures and Lc. lactis c2 phages (order Caudovirales, family Siphoviridae) in dairies using defined cultures. The 936 and Leuconostoc phages demonstrated limited diversity. Possible co-induction of temperate P335 prophages and satellite phages in one of the whey mixtures was also observed."
"527","SRR5156205","SRA524775","We conducted metagenomic and metatranscriptomic sequencing of the human gut microbiome among 308 participants enrolled in a subcohort of men nested within the Health Professionals Follow-up Study. Using a previously validated self-sampling stool collection method (PMID24843156), participants provided up to four stool samples â€“ one set of samples collected approximately 48 hours apart followed by a second set approximately 6 months later. DNA extracted from 929 stool samples and RNA extracted from 378 stool samples was reverse-transcribed to cDNA and sequenced using the Illumina HiSeq platform. Raw data were filtered to remove low quality and human reads. Metagenomic and metatranscriptomic read data were then profiled for functional and taxonomic composition using the HUMAnN2 and MetaPhlAn2 platforms respectively.",NA
"528","ERR1913430","ERA872065",NA,NA
"529","ERR2227812","ERA1167337",NA,NA
"530","SRR1491381","SRA146236","C.diff FMT",NA
"531","SRR3171107","SRA344911","This study aimed at identifying the DNA origin in middle ear effusions of patients having Chronic Otitis Media",NA
"532","SRR7524151","SRA740133",NA,NA
"533","SRR3131922","SRA342712","Dysbiotic colonization of the preterm infant gut microbiota may have lifelong effects on host health. The normal progression of colonization of preterm infants is a patterned, yet chaotic, process, and thought to be chiefly driven by host factors. While preterm infants almost universally receive early and often repeated and/or prolonged intravenous antibiotic therapy, it remains unclear if and how specific antibiotics alter the developmental progression of the gut microbiota in this population. By analyzing 401 fecal samples from 84 longitudinally-sampled preterm infants, we demonstrate that meropenem, cefotaxime, and ticarcillin-clavulanate significantly reduce species richness during their administration, and significantly enrich or deplete specific bacterial species and antibiotic resistance (AR) genes. In contrast, vancomycin and gentamicin, the antibiotics most commonly administered to preterm infants, have non-uniform effects on species richness. We show this response is predictable with 85% accuracy based on the relative abundance of only two bacterial species and two AR genes before treatment. To more fully investigate the role of the gut-associated resistome in response to specific antibiotics, we performed functional metagenomic selections for resistance to 16 clinically relevant antibiotics from a set of 21 preterm infantsâ€™ gut microbiota. Of the 794 AR genes identified, 79% had not previously been classified as providing any resistance phenotype. Combined with deep shotgun sequencing of all 401 fecal samples, we find that multidrug resistant Escherichia, Klebsiella, and Enterobacter species, which are commonly associated with nosocomial infections, dominate the preterm infant gut microbiota. We show that AR genes that are enriched following specific antibiotic treatments are generally unique to the specific treatment and highly correlated (p<0.001) with the abundance of a single species. The most notable exception includes ticarcillin-clavulanate and ampicillin, both of which enrich a large number of overlapping AR genes, and are highly correlated with Klebsiella pneumoniae species in the preterm infant gut microbiota. In addition to AR genes relevant to specific antibiotics likely providing a protective function, we show that all antibiotic treatments also result in widespread collateral microbiome impact through enrichment of AR genes with no known direct activity against the specific antibiotic treatment.",NA
"534","ERR1306540","ERA571967","The aim is to verify the impact of the phytase added in the broiler diet on microbial profile of caecum and broiler meat","The aim is to verify the impact of the phytase added in the broiler diet on microbial profile of caecum and broiler meat"
"535","SRR1483760","SRA146236","C.diff FMT",NA
"536","SRR7167073","SRA704437",NA,NA
"537","SRR5855497","SRA589772","The goal of this project is to collect data about virioplankton communities associated with deep-sea and subseafloor microbial consortia. J. Craig Venter Institute (JCVI) will be involved in collection of samples at the seafloor using an in situ filtration system for viral metagenomics and culture based assays for viral lysis. Virioplankton concentrations will be used to assess viral induced microbial mortality and the role they play in fluxes of dissolved organic matter. The sequence data generated at JCVI will be used to describe taxonomic diversity and functional potential of virioplankton at the Axial Seamount.",NA
"538","SRR1980395","SRA246099","Paired mucosal j-pouch and afferent limb samples from postoperative ulcerative colitis and familial ademonatous polyposis patients from Mount Sinai Hospital, Toronto. Samples were collected during pouch endoscopy and 16S sequenced.",NA
"539","SRR1980395","SRA246099","This is a prospective, longitudinal collection of stool samples from infants at risk for disease. Infants from Finland and Estonia were recruited at birth based on HLA risk genotyping. Parents collected their infantsâ€™ stool at approximately monthly intervals and promptly stored the sample in the freezer prior to shipment for sample processing and sequencing. The cohort comprised of 33 infants, 11 of which seroconverted to serum autoantibody positivity and of those, four developed T1D within the three year time-frame of this study.",NA
"540","SRR2053280","SRA268934","Surface water collected in the Baltic Proper, 10 km east of Ã–land in the Baltic Proper (N 56Â°55.851, E 17Â°03.640)",NA
"541","SRR1491117","SRA146236","C.diff FMT",NA
"542","SRR5675746","SRA573569","Amazon river samples shot-gun sequenced for metagenomics analysis",NA
"543","SRR6659468","SRA654526",NA,NA
"544","SRR2938160","SRA312534","Microbiome and resistome of human fecal and environmental microbiota from rural El Salvador and peri-urban Lima, Peru",NA
"545","SRR2017910","SRA267552","Thermophilic anaerobic digestion of cattle manure in continuous reactors for biogas production (methane)",NA
"546","SRR5156220","SRA524775","We conducted metagenomic and metatranscriptomic sequencing of the human gut microbiome among 308 participants enrolled in a subcohort of men nested within the Health Professionals Follow-up Study. Using a previously validated self-sampling stool collection method (PMID24843156), participants provided up to four stool samples â€“ one set of samples collected approximately 48 hours apart followed by a second set approximately 6 months later. DNA extracted from 929 stool samples and RNA extracted from 378 stool samples was reverse-transcribed to cDNA and sequenced using the Illumina HiSeq platform. Raw data were filtered to remove low quality and human reads. Metagenomic and metatranscriptomic read data were then profiled for functional and taxonomic composition using the HUMAnN2 and MetaPhlAn2 platforms respectively.",NA
"547","SRR4305301","SRA481012","This is a longitudinal collection of stool samples from infants at risk for disease. Approximately 1,000 newborns were recruited to the birth cohort as part of the international DIABIMMUNE Study (http://www.diabimmune.org/) for which the consent rate was 80% in Tartu, Estonia, 59% in Espoo, Finland, and 24% in Petrozavodsk, Russia. Recruitment took place between September 2008 and May 2010 in Estonia and Finland, and between September 2008 and July 2011 in Russia. Follow-up was completed in April 2013 in Estonia and Finland, and in October 2013 in Russia. The final number of children included in the present study was 74 from each country. Inclusion criteria included positive cord blood testing for HLA DR-DQ alleles conferring increased risk for autoimmunity. The participating children were monitored prospectively for infections, use of drugs including antibiotics, and other life events.",NA
"548","SRR5260890","SRA538353",NA,NA
"549","SRR1215958","SRA150208","Risk Stratification and Identification of Immunogenetic and Microbial Markers of Rapid Disease Progression in Children with Crohnâ€™s Disease.",NA
"550","SRR3131807","SRA342712","Dysbiotic colonization of the preterm infant gut microbiota may have lifelong effects on host health. The normal progression of colonization of preterm infants is a patterned, yet chaotic, process, and thought to be chiefly driven by host factors. While preterm infants almost universally receive early and often repeated and/or prolonged intravenous antibiotic therapy, it remains unclear if and how specific antibiotics alter the developmental progression of the gut microbiota in this population. By analyzing 401 fecal samples from 84 longitudinally-sampled preterm infants, we demonstrate that meropenem, cefotaxime, and ticarcillin-clavulanate significantly reduce species richness during their administration, and significantly enrich or deplete specific bacterial species and antibiotic resistance (AR) genes. In contrast, vancomycin and gentamicin, the antibiotics most commonly administered to preterm infants, have non-uniform effects on species richness. We show this response is predictable with 85% accuracy based on the relative abundance of only two bacterial species and two AR genes before treatment. To more fully investigate the role of the gut-associated resistome in response to specific antibiotics, we performed functional metagenomic selections for resistance to 16 clinically relevant antibiotics from a set of 21 preterm infantsâ€™ gut microbiota. Of the 794 AR genes identified, 79% had not previously been classified as providing any resistance phenotype. Combined with deep shotgun sequencing of all 401 fecal samples, we find that multidrug resistant Escherichia, Klebsiella, and Enterobacter species, which are commonly associated with nosocomial infections, dominate the preterm infant gut microbiota. We show that AR genes that are enriched following specific antibiotic treatments are generally unique to the specific treatment and highly correlated (p<0.001) with the abundance of a single species. The most notable exception includes ticarcillin-clavulanate and ampicillin, both of which enrich a large number of overlapping AR genes, and are highly correlated with Klebsiella pneumoniae species in the preterm infant gut microbiota. In addition to AR genes relevant to specific antibiotics likely providing a protective function, we show that all antibiotic treatments also result in widespread collateral microbiome impact through enrichment of AR genes with no known direct activity against the specific antibiotic treatment.",NA
"551","SRR1909422","SRA246099","Paired mucosal j-pouch and afferent limb samples from postoperative ulcerative colitis and familial ademonatous polyposis patients from Mount Sinai Hospital, Toronto. Samples were collected during pouch endoscopy and 16S sequenced.",NA
"552","SRR1909422","SRA246099","This is a prospective, longitudinal collection of stool samples from infants at risk for disease. Infants from Finland and Estonia were recruited at birth based on HLA risk genotyping. Parents collected their infantsâ€™ stool at approximately monthly intervals and promptly stored the sample in the freezer prior to shipment for sample processing and sequencing. The cohort comprised of 33 infants, 11 of which seroconverted to serum autoantibody positivity and of those, four developed T1D within the three year time-frame of this study.",NA
"553","SRR1491022","SRA146236","C.diff FMT",NA
"554","SRR6349434","SRA636162",NA,NA
"555","SRR7524166","SRA740133",NA,NA
"556","SRR3132214","SRA342712","Dysbiotic colonization of the preterm infant gut microbiota may have lifelong effects on host health. The normal progression of colonization of preterm infants is a patterned, yet chaotic, process, and thought to be chiefly driven by host factors. While preterm infants almost universally receive early and often repeated and/or prolonged intravenous antibiotic therapy, it remains unclear if and how specific antibiotics alter the developmental progression of the gut microbiota in this population. By analyzing 401 fecal samples from 84 longitudinally-sampled preterm infants, we demonstrate that meropenem, cefotaxime, and ticarcillin-clavulanate significantly reduce species richness during their administration, and significantly enrich or deplete specific bacterial species and antibiotic resistance (AR) genes. In contrast, vancomycin and gentamicin, the antibiotics most commonly administered to preterm infants, have non-uniform effects on species richness. We show this response is predictable with 85% accuracy based on the relative abundance of only two bacterial species and two AR genes before treatment. To more fully investigate the role of the gut-associated resistome in response to specific antibiotics, we performed functional metagenomic selections for resistance to 16 clinically relevant antibiotics from a set of 21 preterm infantsâ€™ gut microbiota. Of the 794 AR genes identified, 79% had not previously been classified as providing any resistance phenotype. Combined with deep shotgun sequencing of all 401 fecal samples, we find that multidrug resistant Escherichia, Klebsiella, and Enterobacter species, which are commonly associated with nosocomial infections, dominate the preterm infant gut microbiota. We show that AR genes that are enriched following specific antibiotic treatments are generally unique to the specific treatment and highly correlated (p<0.001) with the abundance of a single species. The most notable exception includes ticarcillin-clavulanate and ampicillin, both of which enrich a large number of overlapping AR genes, and are highly correlated with Klebsiella pneumoniae species in the preterm infant gut microbiota. In addition to AR genes relevant to specific antibiotics likely providing a protective function, we show that all antibiotic treatments also result in widespread collateral microbiome impact through enrichment of AR genes with no known direct activity against the specific antibiotic treatment.",NA
"557","SRR5665115","SRA573379","Colorectal cancer is the second leading cause of cancer-related death in the United States and is a primary cause of morbidity and mortality throughout the world. Its risk has been linked to changes in colonic bacterial community composition. Viruses are another important component of the colonic microbial community, however they have yet to be studied in colorectal cancer despite their oncogenic potential. We evaluated the colorectal cancer virome (virus community) in stool using a cohort of 90 human subjects with either healthy, adenomatous (precancerous), or cancerous colons. We utilized 16S rRNA gene, whole shotgun metagenomic, and purified virus metagenomic sequencing methods to compare the colorectal cancer virome to the bacterial community. We identified no detectable difference in diversity (alpha or beta) between healthy, adenomatous, or cancerous colonic samples, but more sophisticated random forest models identified striking changes in the virus community. The majority of the cancer-associated virome consisted of temperate bacteriophages, suggesting that the community was indirectly linked to colorectal cancer by modulating bacterial community structure and function. Our data suggested that the influential phages did not exclusively infect influential bacteria, but rather acted through the community as a whole. These results provide foundational evidence that bacteriophage communities are associated with colorectal cancer and likely impact cancer progression by altering the bacterial host communities.",NA
"558","ERR209616","ERA179067","The microbial diversity of environments like the human gut extends far beyond what is covered by reference genomes. Here we present a method for exhaustive and unsupervised co-abundance gene binning across a series of highly complex metagenomic samples. As the method does not rely on previously sequenced reference genomes it allows for discovery of new species, viruses and clonal heterogeneity. We demonstrate the method on human gut microbiome data and identify 7,381 co-abundance gene groups (CAGs) ranging in size from 3 to 6,319 genes. The CAGs represent a wide variety of biological entities including microbial genomes, phages and clonal differences. We name the 741 largest of these metagenomic species (MGS), because they correspond to microbial species. In addition, we establish microbial host affiliations by dependency-associations for many small CAGs. Longitudinal sampling in the same individuals indicates that some of these dependency-associations are important for the persistence of their microbial host","The microbial diversity of environments like the human gut extends far beyond what is covered by reference genomes. Here we present a method for exhaustive and unsupervised co-abundance gene binning across a series of highly complex metagenomic samples. As the method does not rely on previously sequenced reference genomes it allows for discovery of new species, viruses and clonal heterogeneity. We demonstrate the method on human gut microbiome data and identify 7,381 co-abundance gene groups (CAGs) ranging in size from 3 to 6,319 genes. The CAGs represent a wide variety of biological entities including microbial genomes, phages and clonal differences. We name the 741 largest of these metagenomic species (MGS), because they correspond to microbial species. In addition, we establish microbial host affiliations by dependency-associations for many small CAGs. Longitudinal sampling in the same individuals indicates that some of these dependency-associations are important for the persistence of their microbial host"
"559","SRR4101289","SRA458525","fresh bagged spinach spiked with STEC",NA
"560","SRR3536228","SRA425839","Goals of this study were to apply novel NGS metagenomic methods to the description of community microbial composition in poultry agricultural environments. Detailed investigation of the microbial composition of these environments has a significant bearing on our understanding of the health and safety impacts of working in these environments.",NA
"561","SRR6468706","SRA646300",NA,NA
"562","SRR3131737","SRA342712","Dysbiotic colonization of the preterm infant gut microbiota may have lifelong effects on host health. The normal progression of colonization of preterm infants is a patterned, yet chaotic, process, and thought to be chiefly driven by host factors. While preterm infants almost universally receive early and often repeated and/or prolonged intravenous antibiotic therapy, it remains unclear if and how specific antibiotics alter the developmental progression of the gut microbiota in this population. By analyzing 401 fecal samples from 84 longitudinally-sampled preterm infants, we demonstrate that meropenem, cefotaxime, and ticarcillin-clavulanate significantly reduce species richness during their administration, and significantly enrich or deplete specific bacterial species and antibiotic resistance (AR) genes. In contrast, vancomycin and gentamicin, the antibiotics most commonly administered to preterm infants, have non-uniform effects on species richness. We show this response is predictable with 85% accuracy based on the relative abundance of only two bacterial species and two AR genes before treatment. To more fully investigate the role of the gut-associated resistome in response to specific antibiotics, we performed functional metagenomic selections for resistance to 16 clinically relevant antibiotics from a set of 21 preterm infantsâ€™ gut microbiota. Of the 794 AR genes identified, 79% had not previously been classified as providing any resistance phenotype. Combined with deep shotgun sequencing of all 401 fecal samples, we find that multidrug resistant Escherichia, Klebsiella, and Enterobacter species, which are commonly associated with nosocomial infections, dominate the preterm infant gut microbiota. We show that AR genes that are enriched following specific antibiotic treatments are generally unique to the specific treatment and highly correlated (p<0.001) with the abundance of a single species. The most notable exception includes ticarcillin-clavulanate and ampicillin, both of which enrich a large number of overlapping AR genes, and are highly correlated with Klebsiella pneumoniae species in the preterm infant gut microbiota. In addition to AR genes relevant to specific antibiotics likely providing a protective function, we show that all antibiotic treatments also result in widespread collateral microbiome impact through enrichment of AR genes with no known direct activity against the specific antibiotic treatment.",NA
"563","SRR1491617","SRA146236","C.diff FMT",NA
"564","SRR3132450","SRA342712","Dysbiotic colonization of the preterm infant gut microbiota may have lifelong effects on host health. The normal progression of colonization of preterm infants is a patterned, yet chaotic, process, and thought to be chiefly driven by host factors. While preterm infants almost universally receive early and often repeated and/or prolonged intravenous antibiotic therapy, it remains unclear if and how specific antibiotics alter the developmental progression of the gut microbiota in this population. By analyzing 401 fecal samples from 84 longitudinally-sampled preterm infants, we demonstrate that meropenem, cefotaxime, and ticarcillin-clavulanate significantly reduce species richness during their administration, and significantly enrich or deplete specific bacterial species and antibiotic resistance (AR) genes. In contrast, vancomycin and gentamicin, the antibiotics most commonly administered to preterm infants, have non-uniform effects on species richness. We show this response is predictable with 85% accuracy based on the relative abundance of only two bacterial species and two AR genes before treatment. To more fully investigate the role of the gut-associated resistome in response to specific antibiotics, we performed functional metagenomic selections for resistance to 16 clinically relevant antibiotics from a set of 21 preterm infantsâ€™ gut microbiota. Of the 794 AR genes identified, 79% had not previously been classified as providing any resistance phenotype. Combined with deep shotgun sequencing of all 401 fecal samples, we find that multidrug resistant Escherichia, Klebsiella, and Enterobacter species, which are commonly associated with nosocomial infections, dominate the preterm infant gut microbiota. We show that AR genes that are enriched following specific antibiotic treatments are generally unique to the specific treatment and highly correlated (p<0.001) with the abundance of a single species. The most notable exception includes ticarcillin-clavulanate and ampicillin, both of which enrich a large number of overlapping AR genes, and are highly correlated with Klebsiella pneumoniae species in the preterm infant gut microbiota. In addition to AR genes relevant to specific antibiotics likely providing a protective function, we show that all antibiotic treatments also result in widespread collateral microbiome impact through enrichment of AR genes with no known direct activity against the specific antibiotic treatment.",NA
"565","SRR4305377","SRA481012","This is a longitudinal collection of stool samples from infants at risk for disease. Approximately 1,000 newborns were recruited to the birth cohort as part of the international DIABIMMUNE Study (http://www.diabimmune.org/) for which the consent rate was 80% in Tartu, Estonia, 59% in Espoo, Finland, and 24% in Petrozavodsk, Russia. Recruitment took place between September 2008 and May 2010 in Estonia and Finland, and between September 2008 and July 2011 in Russia. Follow-up was completed in April 2013 in Estonia and Finland, and in October 2013 in Russia. The final number of children included in the present study was 74 from each country. Inclusion criteria included positive cord blood testing for HLA DR-DQ alleles conferring increased risk for autoimmunity. The participating children were monitored prospectively for infections, use of drugs including antibiotics, and other life events.",NA
"566","SRR1491220","SRA146236","C.diff FMT",NA
"567","SRR7524167","SRA740133",NA,NA
"568","SRR1851389","SRA245493","DNA damage in the form of abasic sites, chemically altered nucleotides, and strand fragmentation, is an important limitation in obtaining genetic information from many ancient and forensic samples. By incubating degraded DNA with specific enzyme combinations adopted from these pathways, it is possible to reverse some of the post-mortem nucleic damage prior to downstream analyses, such as library preparation, targeted enrichment and high-throughput sequencing. This study evaluates the performance of two available repair protocols, PreCRÂ® Repair Mix and Nelson repair, on previously characterized DNA extracts from four mammoths.",NA
"569","SRR7468304","SRA732729",NA,NA
"570","SRR341719","SRA045646","A Metagenome-Wide Association Study of gut microbiota identifies markers associated with Type 2 Diabetes based on next generation sequencing technology.",NA
"571","SRR3212990","SRA382459","A metagenomic analysis of the gut flora in recent (<1 year) and old African migrantsâ€™ (>5 years) colonic biopsiesâ€™ microenvironment.",NA
"572","SRR1449361","SRA146236","C.diff FMT",NA
"573","SRR4101324","SRA458525","fresh bagged spinach spiked with STEC",NA
"574","SRR4101309","SRA458525","fresh bagged spinach spiked with STEC",NA
